Brand,Competitive,Related
Checkers,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Steak 'n Shake"", ""Culver's"", 'Shake Shack', 'Dairy Queen']"
Church's Chicken,"['KFC', 'Popeyes']","['Chick-fil-A', 'Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'Panera Bread', 'The Halal Guys', ""Steak 'n Shake"", 'Buffalo Wild Wings', 'Shake Shack', ""Culver's"", 'Pollo Campero', 'Dairy Queen']"
Panera Bread,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","[""Rosati's"", 'Shake Shack', ""Jersey Mike's Subs"", 'Pret A Manger', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""Chili's"", ""McDonald's"", 'Cinnabon', ""Church's Chicken"", ""Portillo's"", ""Nando's"", ""Wendy's"", ""Chuck E. Cheese's"", 'IHOP', 'Tropical Smoothie Cafe', 'Billy Goat Tavern', 'Manchu Wok', ""Culver's"", ""Peet's Coffee"", 'Subway', ""Harold's Chicken Shack"", 'Sweetgreen', 'Chick-fil-A', 'The Halal Guys', 'Philz Coffee', 'Unos', 'Starbucks Reserve', 'Freshii', 'Au Bon Pain', 'Taco Bell', 'MOD Pizza', 'The Original Pancake House', ""Lou Malnati's Pizzeria"", 'Così', 'Vapiano', 'Popeyes', 'KFC', 'Little Caesars', 'White Castle', ""Dunkin'"", 'Insomnia Cookies', 'Panda Express', 'Louisiana Famous Fried Chicken', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Hooters', 'Noodles & Company', 'Le Pain Quotidien', 'Five Guys', 'Pizza Hut', 'Starbucks', 'Burger King', 'Sbarro', ""Domino's"", ""Jet's Pizza"", 'Pollo Campero', 'Checkers', 'Home Run Inn', 'Chipotle', ""Giordano's Pizzeria"", 'Qdoba', ""Raising Cane's"", 'Jollibee', ""Auntie Anne's"", ""Steak 'n Shake"", 'TCBY', 'Baskin-Robbins', 'Cold Stone Creamery', 'Krispy Krunchy Chicken', ""Sarpino's Pizzeria"", 'Buffalo Wild Wings', 'Boston Market', 'Wingstop', 'Potbelly', 'Jamba', 'Corner Bakery', ""Jason's Deli""]"
The Home Depot,"['Ace Hardware', 'True Value']","['Menards', 'Petco', ""Auntie Anne's""]"
Walmart,"['Jewel-Osco', 'ALDI', 'Whole Foods Market', ""Mariano's Fresh Market""]","[""Auntie Anne's"", 'Petco', 'Burlington', 'Best Buy', 'TJ Maxx']"
Whole Foods Market,"['Jewel-Osco', 'ALDI', 'Walmart', ""Mariano's Fresh Market""]",['Petco']
Wintrust Bank,"['Fifth Third Bank', 'Chase', 'Bank of America', 'Byline Bank', 'U.S. Bank', 'Citibank', 'BMO Harris Bank', 'PNC Bank', 'Huntington Bank']",[]
Lou Malnati's Pizzeria,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Home Run Inn', 'Little Caesars', 'Pizza Hut', 'Krispy Krunchy Chicken', ""Chuck E. Cheese's"", 'Sbarro', ""Giordano's Pizzeria"", ""Domino's"", ""Sarpino's Pizzeria"", 'Vapiano', 'Louisiana Famous Fried Chicken', ""Rosati's"", 'Blaze Pizza', ""Jet's Pizza"", 'Gino’s East', 'Unos', 'Dairy Queen', 'MOD Pizza']"
UPS,['United States Postal Service'],"['Starbucks Reserve', 'Kindred Healthcare']"
La Michoacana,['Baskin-Robbins'],[]
SP+,[],[]
Stan’s Donuts & Coffee,[],[]
Pizza Hut,[],"['Little Caesars', 'Billy Goat Tavern', ""Rosati's"", 'Gino’s East', 'Shake Shack', ""Culver's"", 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Unos', 'Dairy Queen', 'Taco Bell', 'MOD Pizza', 'Krispy Krunchy Chicken', ""Lou Malnati's Pizzeria"", 'Sbarro', ""Sarpino's Pizzeria"", ""Domino's"", 'Blaze Pizza', ""Jet's Pizza"", 'Home Run Inn', ""Giordano's Pizzeria"", 'Vapiano', ""Chuck E. Cheese's""]"
Argo Tea,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Shake Shack', ""Culver's"", 'Dairy Queen']"
Cermak Fresh Market,[],[]
LA Fitness,[],[]
Falcon,[],[]
Petco,[],"['Circle K', 'Crate & Barrel', 'Toyota', 'Floor & Decor', 'Walgreens', 'Banana Republic', 'Public Storage', 'Menards', 'Family Dollar', 'CVS Pharmacy', 'Sephora', 'Five Below', 'Best Buy', ""Peet's Coffee"", 'TJ Maxx', 'Marshalls', 'Panda Express', 'Costco', 'Amazon', 'Oakley', 'Whole Foods Market', 'The Home Depot', 'Old Navy', 'The Container Store', 'Barnes & Noble', 'PetSmart', 'The Salvation Army', 'Gap', 'Burlington', 'Cricket Wireless', 'ALDI', 'Taco Bell', 'AutoZone', 'Dollar Tree', 'Staples', 'Goodwill', 'AT&T', 'Famous Footwear', ""Levi's"", 'Vans', 'Save-A-Lot', 'Bed Bath & Beyond', 'Walmart', 'Food 4 Less', 'Esporta Fitness', 'Forever 21', 'Hilton', ""Trader Joe's"", 'Ulta Beauty', 'Boost Mobile', 'Dollar General', 'Mattress Firm', 'HomeGoods', 'Target', 'Tesla', ""Lowe's"", 'Jamba', 'Ace Hardware', ""Dick's Sporting Goods"", 'JOANN Fabrics and Crafts', 'Michaels', 'IHOP', 'Party City', 'Ross']"
TJ Maxx,[],"['Dollar Tree', 'Marshalls', 'Dollar General', 'HomeGoods', 'Costco', 'Target', 'Neiman Marcus', 'Walmart', 'Family Dollar', ""Dick's Sporting Goods"", 'Burlington', 'Nordstrom Rack', 'Five Below', 'Ross']"
PetSmart,[],[]
Speedway,[],['Circle K']
Athletico Physical Therapy,[],[]
Dollop Coffee Co.,[],[]
Sarpino's Pizzeria,[],"['Home Run Inn', 'Little Caesars', 'Pizza Hut', 'Krispy Krunchy Chicken', ""Lou Malnati's Pizzeria"", ""Chuck E. Cheese's"", 'Sbarro', ""Giordano's Pizzeria"", ""Domino's"", 'Vapiano', 'Louisiana Famous Fried Chicken', ""Rosati's"", 'Blaze Pizza', ""Jet's Pizza"", 'Unos', 'Dairy Queen', 'MOD Pizza']"
Old National Bank,[],[]
Clark,[],"['Circle K', 'RBC']"
America's Best Contacts & Eyeglasses,[],[]
Sprint,[],[]
Great Clips,[],[]
Papa John's,[],[]
Ventra,[],[]
Save-A-Lot,[],[]
Harold's Chicken Shack,[],"['Chick-fil-A', 'Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'The Halal Guys', 'Buffalo Wild Wings', 'Shake Shack', ""Culver's"", 'Pollo Campero', 'Dairy Queen']"
CubeSmart,[],[]
Food 4 Less,[],[]
Pret A Manger,[],"['Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'Philz Coffee', ""Seattle's Best Coffee"", 'Starbucks Reserve', 'Dairy Queen', 'Joe & The Juice', 'Au Bon Pain', 'La Colombe Coffee']"
Dan Ryan Woods South Picnic Grove 14,[],[]
Taco Burrito King,[],[]
Firestone,[],"['Tesla', 'Dodge', 'Goodyear', 'Ford']"
Five Below,[],['Burlington']
Citi Trends,[],[]
Pete's Fresh Market,[],[]
La Colombe Coffee,[],"['Au Bon Pain', 'Pret A Manger', 'Philz Coffee', ""Seattle's Best Coffee"", ""Dunkin'"", 'Joe & The Juice', ""McDonald's"", 'Starbucks Reserve', ""Peet's Coffee""]"
YMCA,[],['Martin Luther King Jr.']
Binny's Beverage Depot,[],[]
Chili's,[],[]
North Community Bank,[],[]
XSport Fitness,[],[]
Chevrolet,[],"['Tesla', 'Dodge', 'Ford']"
Overlook,[],[]
Trader Joe's,[],[]
Gap,[],"['Forever 21', 'H&M', 'Best Buy']"
Pet Supplies Plus,[],[]
Comfort Station,[],[]
Ulta Beauty,[],[]
Hyatt Place,[],"['Hilton', 'Holiday Inn', 'Best Western Plus']"
Five Guys,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Shake Shack', ""Culver's"", 'Dairy Queen']"
Lot C,[],[]
Burlington,[],"['Dollar Tree', 'Marshalls', 'Dollar General', 'HomeGoods', 'Costco', 'Target', 'Neiman Marcus', 'Walmart', 'Family Dollar', ""Dick's Sporting Goods"", 'Nordstrom Rack', 'Five Below', 'TJ Maxx', 'Ross']"
La Baguette Bakery,[],[]
Enterprise,[],[]
Life Storage,[],[]
Amoco,[],['Circle K']
Au Bon Pain,[],"['Billy Goat Tavern', 'Pret A Manger', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Philz Coffee', ""Seattle's Best Coffee"", 'Shake Shack', ""Dunkin'"", ""Culver's"", 'Joe & The Juice', ""McDonald's"", 'Starbucks Reserve', ""Peet's Coffee"", 'Dairy Queen', 'La Colombe Coffee']"
Kanela Breakfast Club,[],[]
Pearle Vision,[],[]
Lot A,[],[]
Orangetheory Fitness,[],[]
Chick-fil-A,[],"['Billy Goat Tavern', 'Shake Shack', ""Culver's"", ""Raising Cane's"", ""Harold's Chicken Shack"", 'Jollibee', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'The Halal Guys', 'Dairy Queen', 'Hooters', 'Krispy Krunchy Chicken', 'Buffalo Wild Wings', 'Pollo Campero', 'Boston Market', 'Wingstop', ""Church's Chicken"", ""Nando's"", 'Popeyes', 'KFC']"
Burnham Wildlife Corridor,[],[]
HERO Coffee Bar,[],[]
Circle K,[],"['7-Eleven', 'Clark', 'BP', 'Marathon', 'Phillips 66', 'Shell', 'Amoco', 'Jewel-Osco', 'Speedway', 'Hudson', 'Citgo', 'BP Shop', 'Exxon']"
Do it Best,[],[]
Supercuts,[],[]
First American Bank,[],[]
Lot B,[],[]
Auto Repair,[],[]
Barbara's Bookstore,[],[]
South Shore Line,[],[]
Do-Rite Donuts & Chicken,[],[]
Amazon Hub,[],[]
Shake Shack,[],"['Little Caesars', 'Billy Goat Tavern', 'Manchu Wok', 'White Castle', ""Culver's"", ""Dunkin'"", 'Insomnia Cookies', ""Raising Cane's"", ""Peet's Coffee"", 'Subway', 'Sweetgreen', ""Harold's Chicken Shack"", 'Panda Express', 'Chick-fil-A', 'Jollibee', ""Steak 'n Shake"", ""Auntie Anne's"", 'Louisiana Famous Fried Chicken', 'TCBY', 'The Halal Guys', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Noodles & Company', 'Taco Bell', 'MOD Pizza', 'Five Guys', 'The Original Pancake House', 'Baskin-Robbins', 'Starbucks', 'Cold Stone Creamery', ""Jersey Mike's Subs"", 'Pizza Hut', 'Burger King', 'Sbarro', 'Krispy Krunchy Chicken', ""Domino's"", 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Cinnabon', 'Wingstop', 'Checkers', ""Church's Chicken"", 'Così', 'Potbelly', 'Chipotle', ""Portillo's"", ""Wendy's"", 'Jamba', 'Qdoba', 'Corner Bakery', 'Popeyes', ""Jason's Deli"", 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
Beggars Pizza,[],[]
Little Free Library,[],[]
Old Navy,[],['Best Buy']
Big Shoulders Coffee,[],[]
Protein Bar,[],[]
The Vitamin Shoppe,[],[]
Tony's Fresh Market,[],[]
Gulf,[],[]
Einstein Bros. Bagels,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", ""Culver's"", 'Dairy Queen']"
Car-X,[],[]
Brown Bag Seafood Co.,[],[]
Nando's,[],"['Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'The Halal Guys', 'Buffalo Wild Wings', 'Pollo Campero', 'Dairy Queen']"
Famous Footwear,[],[]
Exxon,[],[]
AMC,[],['Regal Cinemas']
Homewood Suites,[],"['Holiday Inn', 'Best Western Plus']"
Carniceria Jimenez,[],[]
Midwest,[],[]
Rent-A-Center,[],[]
Lululemon,[],[]
Culver's,[],"['Little Caesars', 'Billy Goat Tavern', 'Manchu Wok', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Insomnia Cookies', ""Raising Cane's"", ""Peet's Coffee"", 'Subway', 'Sweetgreen', ""Harold's Chicken Shack"", 'Panda Express', 'Chick-fil-A', 'Jollibee', ""Steak 'n Shake"", ""Auntie Anne's"", 'Louisiana Famous Fried Chicken', 'TCBY', 'The Halal Guys', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Noodles & Company', 'Taco Bell', 'MOD Pizza', 'Five Guys', 'The Original Pancake House', 'Baskin-Robbins', 'Starbucks', 'Cold Stone Creamery', ""Jersey Mike's Subs"", 'Pizza Hut', 'Burger King', 'Sbarro', 'Krispy Krunchy Chicken', ""Domino's"", 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Cinnabon', 'Wingstop', 'Checkers', ""Church's Chicken"", 'Così', 'Potbelly', 'Chipotle', ""Portillo's"", ""Wendy's"", 'Jamba', 'Qdoba', 'Corner Bakery', 'Popeyes', ""Jason's Deli"", 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
Schiller Woods Picnic Shelter Grove 11,[],[]
Holiday Inn,[],"['Embassy Suites', 'Extended Stay America', 'Marriott', 'DoubleTree', 'Fairfield Inn & Suites', 'Hyatt Place', 'Aloft', 'Best Western Plus', 'Westin', 'Hilton Garden Inn', 'Holiday Inn', 'Residence Inn', 'W Hotels', 'Hilton', 'La Quinta Inn', 'Hampton Inn & Suites', 'Homewood Suites', 'SpringHill Suites', 'Courtyard', 'Renaissance']"
Parkway Bank,[],[]
IHOP,[],"['The Original Pancake House', 'Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Portillo's"", ""Steak 'n Shake"", 'Dairy Queen']"
Hilton,[],"['Hyatt Place', 'Best Western Plus']"
Qdoba,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Chipotle', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Dairy Queen', 'Taco Bell']"
Jamba,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Dairy Queen']"
Rosati's,[],"['Home Run Inn', 'Krispy Krunchy Chicken', 'Sbarro', 'Louisiana Famous Fried Chicken', 'Dairy Queen', 'Unos', 'MOD Pizza']"
Village Discount Outlet,[],[]
Xurro,[],[]
Jet's Pizza,[],"['Home Run Inn', 'Krispy Krunchy Chicken', 'Sbarro', 'Louisiana Famous Fried Chicken', 'Dairy Queen', 'Unos', 'MOD Pizza']"
Insomnia Cookies,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Dairy Queen']"
Associated Bank,[],[]
dd's Discounts,[],[]
Philz Coffee,[],"[""Peet's Coffee"", 'Pret A Manger', ""Seattle's Best Coffee"", ""Dunkin'"", 'Joe & The Juice', ""McDonald's"", 'Starbucks Reserve', 'Au Bon Pain', 'La Colombe Coffee']"
CIBC,[],"['Fifth Third Bank', 'Bank of America', 'RBC', 'U.S. Bank', 'Citibank', 'PNC Bank']"
Sip & Savor,[],[]
Jeni's Splendid Ice Creams,[],[]
Hilton Garden Inn,[],['Best Western Plus']
Boys & Girls Club,[],[]
Vanille Patisserie,[],[]
Valvoline,[],[]
McCormick Place Parking Lot B Overflow,[],[]
DePaul University,[],['Garfield Park (Chicago)']
Old Second National Bank,[],[]
Pep Boys,[],"['Goodyear', 'NAPA Auto Parts']"
"List of cemeteries in Cook County, Illinois",[],[]
Cafecito,[],[]
Chicago Patrolmen's Federal Credit Union,[],[]
Lot A4,[],[]
Schiller Woods Picnic Grove 3,[],[]
Best Western Plus,[],"['Embassy Suites', 'Extended Stay America', 'Marriott', 'DoubleTree', 'Fairfield Inn & Suites', 'Hyatt Place', 'Aloft', 'Westin', 'Hilton Garden Inn', 'Holiday Inn', 'Residence Inn', 'W Hotels', 'Hilton', 'La Quinta Inn', 'Hampton Inn & Suites', 'Homewood Suites', 'SpringHill Suites', 'Courtyard', 'Renaissance']"
Residence Inn,[],[]
Lowe's,[],"['Best Buy', ""Auntie Anne's""]"
Naf Naf Grill,[],[]
Al's Beef,[],[]
Floyd's 99 Barbershop,[],[]
City Sports,[],[]
Veterans of Foreign Wars of the United States,[],['American Legion']
Blaze Pizza,[],"['Home Run Inn', 'Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Sbarro', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Dairy Queen', 'Unos', 'MOD Pizza']"
Metro Self Storage,[],[]
Sweetgreen,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Dairy Queen']"
Picnic Shelter #1,[],[]
American Legion,[],['Veterans of Foreign Wars of the United States']
Rothschild Liquors,[],[]
Billy Goat Tavern & Grill,[],[]
Native Foods Cafe,[],[]
Hair Cuttery,[],[]
Pepe's Mexican Restaurant,[],[]
Freshii,[],"['Cold Stone Creamery', 'Krispy Krunchy Chicken', ""McDonald's"", 'Louisiana Famous Fried Chicken', ""Wendy's"", 'Dairy Queen', 'Starbucks Reserve']"
Intelligentsia,[],[]
Lakeside Bank,[],[]
Bar Louie,[],[]
Immaculate Conception School,[],[]
Unos,[],"['Home Run Inn', 'Little Caesars', 'Pizza Hut', 'Krispy Krunchy Chicken', ""Lou Malnati's Pizzeria"", 'Sbarro', ""Giordano's Pizzeria"", ""Domino's"", ""Sarpino's Pizzeria"", 'Vapiano', 'Louisiana Famous Fried Chicken', ""Rosati's"", 'Blaze Pizza', ""Jet's Pizza"", 'Gino’s East', ""Chuck E. Cheese's"", 'Dairy Queen', 'MOD Pizza']"
Foremost Liquors,[],[]
USPS,[],"['Tesla', 'Martin Luther King Jr.']"
Super Save,[],[]
The Original Pancake House,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Portillo's"", ""Steak 'n Shake"", 'Nike', 'Dairy Queen', 'IHOP']"
Forever Yogurt,[],[]
The University of Chicago,[],['Garfield Park (Chicago)']
Hampton,[],[]
Marriott,[],[]
Hyde Park Bank,[],[]
Dairy Queen,[],"[""Rosati's"", 'Shake Shack', ""Jersey Mike's Subs"", 'Pret A Manger', 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""McDonald's"", 'Cinnabon', ""Church's Chicken"", ""Portillo's"", ""Nando's"", ""Wendy's"", ""Chuck E. Cheese's"", 'IHOP', 'Tropical Smoothie Cafe', 'Billy Goat Tavern', 'Manchu Wok', ""Culver's"", ""Peet's Coffee"", 'Subway', ""Harold's Chicken Shack"", 'Sweetgreen', 'Chick-fil-A', 'The Halal Guys', 'Unos', 'Starbucks Reserve', 'Freshii', 'Au Bon Pain', 'Taco Bell', 'MOD Pizza', 'The Original Pancake House', ""Lou Malnati's Pizzeria"", 'Così', 'Vapiano', 'Popeyes', 'KFC', 'Little Caesars', 'White Castle', ""Dunkin'"", 'Insomnia Cookies', 'Panda Express', 'Louisiana Famous Fried Chicken', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Hooters', 'Noodles & Company', 'Le Pain Quotidien', 'Five Guys', 'Pizza Hut', 'Starbucks', 'Burger King', 'Sbarro', ""Domino's"", ""Jet's Pizza"", 'Pollo Campero', 'Checkers', 'Home Run Inn', 'Chipotle', ""Giordano's Pizzeria"", 'Qdoba', ""Raising Cane's"", 'Jollibee', ""Auntie Anne's"", ""Steak 'n Shake"", 'TCBY', 'Baskin-Robbins', 'Cold Stone Creamery', 'Krispy Krunchy Chicken', ""Sarpino's Pizzeria"", 'Buffalo Wild Wings', 'Boston Market', 'Wingstop', 'Potbelly', 'Jamba', 'Corner Bakery', ""Jason's Deli""]"
SpringHill Suites,[],[]
Noodles & Company,[],"['Louisiana Famous Fried Chicken', 'Billy Goat Tavern', ""Steak 'n Shake"", 'Krispy Krunchy Chicken']"
Lids,[],[]
LYFE Kitchen,[],[]
Renaissance,[],[]
Portillo's,[],"['Louisiana Famous Fried Chicken', 'Billy Goat Tavern', ""Steak 'n Shake"", 'Krispy Krunchy Chicken']"
BomBon Cafe,[],[]
Kedzie Plaza,[],[]
Buona,[],[]
ATI Physical Therapy,[],[]
Capital One Café,[],[]
News Now,[],[]
Currency Exchange,[],[]
National Car Wash,[],[]
The Lock Up,[],[]
Home Run Inn,[],"['Pizza Hut', 'Little Caesars', 'Krispy Krunchy Chicken', ""Lou Malnati's Pizzeria"", ""Chuck E. Cheese's"", 'Sbarro', ""Giordano's Pizzeria"", ""Domino's"", ""Sarpino's Pizzeria"", 'Vapiano', 'Louisiana Famous Fried Chicken', ""Rosati's"", 'Blaze Pizza', ""Jet's Pizza"", 'Gino’s East', 'Unos', 'MOD Pizza']"
Toyota,[],['Tesla']
Nike,[],"['The Original Pancake House', 'Best Buy']"
Philly's Best,[],[]
BJ's Market & Bakery,[],[]
The Great American Bagel,[],[]
Phillips 66,[],[]
Jersey Mike's Subs,[],"['Billy Goat Tavern', 'Starbucks', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", ""Jimmy John's"", 'Subway']"
Immediate MD,[],[]
Steppenwolf Theater - Round,[],[]
Roti,[],[]
Cinnabon,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Starbucks Reserve']"
Providence Bank & Trust,[],[]
Market Creations,[],[]
Mr. Submarine,[],[]
Central Bakery,[],[]
La Boulangerie,[],[]
Forman Mills,[],[]
Sport Clips,[],[]
Forever 21,[],['Best Buy']
Big City Optical,[],[]
Men's Wearhouse,[],['Best Buy']
Cozy Corner,[],[]
O'Hare Economy Lot E (Closed),[],[]
Extended Stay America,[],[]
Colectivo Coffee,[],[]
Auntie Anne's,[],"['Billy Goat Tavern', ""Dunkin'"", 'Subway', 'Jollibee', 'Louisiana Famous Fried Chicken', 'Rocky Mountain Chocolate Factory', 'The Home Depot', ""Steak 'n Shake"", 'Dairy Queen', 'Starbucks Reserve', 'ALDI', 'Le Pain Quotidien', 'Dollar Tree', 'Krispy Krunchy Chicken', ""Domino's"", 'Walmart', ""McDonald's"", 'Dollar General', 'Chipotle', 'Target', ""Lowe's""]"
Buddy Bear Car Wash,[],[]
Presence Medical Group,[],[]
Park Plaza Parking Lot,[],[]
Ann Sather,[],[]
Brioche Dorée,[],[]
Athena Bitcoin ATM,[],[]
Cold Stone Creamery,[],"['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'TCBY']"
Benjamin Moore,[],[]
Wrigley Rooftops,[],[]
Seoul Taco,[],[]
Goddess and the Baker,[],[]
Nordstrom Rack,[],['Best Buy']
Resident Student Parking,[],[]
Breakfast House,[],[]
MoneyGram,[],[]
Lot D,[],[]
Gas Depot,[],[]
Saint Hilary School,[],[]
Eggers Grove Picnic Shelter Grove 1,[],[]
Discovery Clothing Company,[],[]
Nicky's Gyros,[],[]
ChargePoint,[],[]
Royal Sonesta,[],[]
BIG & little’s Restaurant,[],[]
FedEx,[],[]
Cafe Tola #1,[],[]
Discover Chicago,[],[]
M Burger,[],[]
Small Cheval,[],[]
Hertz,[],[]
Best Buy,[],"['Crate & Barrel', 'Walgreens', 'Banana Republic', 'Family Dollar', 'CVS Pharmacy', ""Men's Wearhouse"", 'Nordstrom Rack', 'GameStop', 'Bath & Body Works', 'Sally Beauty', 'Neiman Marcus', ""claire's"", 'GNC', 'Old Navy', 'Nike', 'Gap', 'Starbucks Reserve', ""Victoria's Secret"", 'Dollar Tree', 'AT&T', 'Bed Bath & Beyond', 'Walmart', 'Forever 21', 'Disney Store', 'Mattress Firm', 'Target', ""Lowe's"", 'Urban Outfitters', 'Foot Locker', ""Dick's Sporting Goods"", 'Party City']"
Edible Arrangements,[],[]
Hannah's Bretzel,[],[]
DaVita,[],[]
Heritage Outpost,[],[]
Vero Coffee & Gelato,[],[]
The Halal Guys,[],"[""Church's Chicken"", 'Chick-fil-A', 'Jollibee', 'Krispy Krunchy Chicken', 'Billy Goat Tavern', 'Boston Market', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", ""Nando's"", 'Buffalo Wild Wings', 'Pollo Campero', 'Popeyes', 'Wingstop', 'KFC', ""Raising Cane's"", 'Hooters', ""Harold's Chicken Shack""]"
Catherine Chevalier Woods Picnic Shelter Grove 1,[],[]
Le Pain Quotidien,[],"['Louisiana Famous Fried Chicken', 'Krispy Krunchy Chicken']"
Visionworks,[],[]
Michaels,[],[]
Molly’s Cupcakes,[],[]
Redbox,[],[]
Mather’s More Than a Cafe,[],[]
La Central Bakery,[],[]
Fairplay Foods,[],[]
Joe & The Juice,[],"[""Peet's Coffee"", 'Pret A Manger', 'Philz Coffee', ""Seattle's Best Coffee"", ""Dunkin'"", ""McDonald's"", 'Starbucks Reserve', 'Au Bon Pain', 'La Colombe Coffee']"
Le Paris Bakery,[],[]
Liberty Bank,[],[]
Sbarro,[],"['Little Caesars', 'Billy Goat Tavern', ""Rosati's"", 'Gino’s East', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Unos', 'MOD Pizza', 'Pizza Hut', 'Krispy Krunchy Chicken', ""Lou Malnati's Pizzeria"", ""Sarpino's Pizzeria"", ""Domino's"", 'Blaze Pizza', ""Jet's Pizza"", 'Home Run Inn', ""Giordano's Pizzeria"", 'Vapiano', ""Chuck E. Cheese's""]"
Julius Meinl,[],[]
Assumption School,[],[]
Taqueria Los Comales #11,[],[]
Stan's Donuts,[],[]
MB Financial Bank,[],[]
Ford,[],"['Nissan', 'Kindred Healthcare', 'Tesla', 'Chevrolet', 'Dodge', 'Hyundai', 'H&M', 'Goodyear', 'Firestone']"
Republic Bank of Chicago,[],[]
Hoyne Savings Bank,[],[]
Anthropologie,[],[]
Victoria's Secret,[],[]
Bacci Pizzeria,[],[]
South Central Bank,[],[]
Physicians Immediate Care,[],[]
Amazon,[],"['Barnes & Noble', 'Starbucks Reserve']"
