Region,Nearby,Similar
Belmont_492,"['West Farms_467', 'Tremont_469', 'Tremont_476', 'Tremont_478', 'Tremont_480', 'Belmont_487', 'Belmont_489', 'Tremont_584', 'Belmont_2182', 'Belmont_2241', 'Belmont_2242', 'Bronx Park_2289', 'Belmont_2320']",[]
Williamsbridge-Olinville_493,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_12', 'Williamsbridge-Olinville_13', 'Williamsbridge-Olinville_477', 'Williamsbridge-Olinville_479', 'Williamsbridge-Olinville_482', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Woodlawn Cemetery_526', 'Norwood_2149', 'Bronx Park_2289']","['Eastchester-Edenwald-Baychester_468', 'Norwood_2204']"
Williamsbridge-Olinville_494,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_13', 'Williamsbridge-Olinville_482', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_493', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_517', 'Woodlawn Cemetery_526']","['Mount Hope_393', 'Allerton_458', 'Williamsbridge-Olinville_472', 'Wakefield-Woodlawn_520', 'Gravesend (East)-Homecrest_888', 'Kensington_939', 'Cambria Heights_1718']"
Williamsbridge-Olinville_495,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_13', 'Williamsbridge-Olinville_472', 'Williamsbridge-Olinville_482', 'Williamsbridge-Olinville_484', 'Williamsbridge-Olinville_490', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_493', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_496', 'Williamsbridge-Olinville_500', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_519']","['West Farms_465', 'Spring Creek-Starrett City_1215']"
Williamsbridge-Olinville_496,"['Eastchester-Edenwald-Baychester_468', 'Williamsbridge-Olinville_472', 'Williamsbridge-Olinville_482', 'Williamsbridge-Olinville_484', 'Eastchester-Edenwald-Baychester_488', 'Williamsbridge-Olinville_490', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_500', 'Williamsbridge-Olinville_503', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_519', 'Eastchester-Edenwald-Baychester_538', 'Eastchester-Edenwald-Baychester_539', 'Eastchester-Edenwald-Baychester_2017']",[]
Bedford Park_497,"['University Heights (North)-Fordham_416', 'Belmont_487', 'Bedford Park_498', 'Bedford Park_499', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'Fordham Heights_2003', 'University Heights (North)-Fordham_2166', 'Fordham Heights_2170', 'University Heights (North)-Fordham_2171', 'Belmont_2241', 'Fordham Heights_2295', 'Belmont_2320']",[]
Bedford Park_498,"['University Heights (North)-Fordham_416', 'Kingsbridge Heights-Van Cortlandt Village_419', 'Kingsbridge Heights-Van Cortlandt Village_420', 'Bedford Park_497', 'Bedford Park_499', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'University Heights (North)-Fordham_2166', 'University Heights (North)-Fordham_2171']",['Carroll Gardens-Cobble Hill-Gowanus-Red Hook_587']
Bedford Park_499,"['University Heights (North)-Fordham_414', 'University Heights (North)-Fordham_416', 'Kingsbridge Heights-Van Cortlandt Village_419', 'Kingsbridge Heights-Van Cortlandt Village_420', 'Bedford Park_497', 'Bedford Park_498', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Fordham Heights_2003', 'University Heights (North)-Fordham_2166', 'Fordham Heights_2170', 'University Heights (North)-Fordham_2171', 'Belmont_2241', 'Fordham Heights_2295']",[]
Williamsbridge-Olinville_500,"['Williamsbridge-Olinville_484', 'Eastchester-Edenwald-Baychester_488', 'Williamsbridge-Olinville_490', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_496', 'Williamsbridge-Olinville_503', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_519', 'Wakefield-Woodlawn_520', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Eastchester-Edenwald-Baychester_538', 'Eastchester-Edenwald-Baychester_539', 'Eastchester-Edenwald-Baychester_2017']",[]
Bedford Park_501,"['University Heights (North)-Fordham_416', 'Belmont_487', 'Belmont_489', 'Bedford Park_497', 'Bedford Park_498', 'Bedford Park_499', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'Fordham Heights_2003', 'University Heights (North)-Fordham_2166', 'Fordham Heights_2170', 'University Heights (North)-Fordham_2171', 'Norwood_2204', 'Belmont_2241', 'Fordham Heights_2295', 'Belmont_2320']","['East Harlem (North)_178', 'East Harlem (North)_190', 'Soundview-Clason Point_245', 'Mott Haven-Port Morris_251', 'Mott Haven-Port Morris_262', 'University Heights (South)-Morris Heights_268', 'Morrisania_316', 'Throgs Neck-Schuylerville_320', 'Throgs Neck-Schuylerville_325', 'Concourse-Concourse Village_351', 'University Heights (South)-Morris Heights_372', 'Mount Eden-Claremont (West)_377', 'Pelham Parkway-Van Nest_381', 'University Heights (South)-Morris Heights_401', 'Kingsbridge Heights-Van Cortlandt Village_426', 'Co-op City_436', 'Allerton_447', 'Tremont_469', 'Williamsbridge-Olinville_477', 'Bedford Park_509', 'Bedford Park_511', 'Washington Heights (North)_515', 'Sunset Park (Central)_626', 'Dyker Heights_668', 'Dyker Heights_703', 'Borough Park_729', 'Bensonhurst_757', 'Bath Beach_767', 'Bedford-Stuyvesant (East)_779', 'Bedford-Stuyvesant (East)_780', 'Gravesend (South)_791', 'Gravesend (West)_879', 'Gravesend (West)_893', 'Mapleton-Midwood (West)_921', 'Borough Park_927', 'South Williamsburg_976', 'Madison_999', 'Gravesend (East)-Homecrest_1019', 'Marine Park-Mill Basin-Bergen Beach_1037', 'Marine Park-Mill Basin-Bergen Beach_1042', 'Midwood_1086', 'Prospect Lefferts Gardens-Wingate_1113', 'East Flatbush-Farragut_1127', 'East Flatbush-Rugby_1140', 'East Flatbush-Remsen Village_1149', 'Brownsville_1154', 'East Flatbush-Rugby_1171', 'Canarsie_1176', 'Canarsie_1177', 'Canarsie_1199', 'East New York (North)_1235', 'Cypress Hills_1251', 'Cypress Hills_1253', 'Oakwood-Richmondtown_1310', 'Oakwood-Richmondtown_1315', 'Port Richmond_1316', 'Great Kills-Eltingville_1318', 'Great Kills-Eltingville_1321', 'Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights_1335', 'Westerleigh-Castleton Corners_1338', 'Port Richmond_1353', 'New Springville-Willowbrook-Bulls Head-Travis_1358', 'Grasmere-Arrochar-South Beach-Dongan Hills_1377', 'Ozone Park (North)_1410', 'Ozone Park (North)_1412', 'South Ozone Park_1450', 'Richmond Hill_1469', 'Richmond Hill_1479', 'South Ozone Park_1503', 'South Ozone Park_1508', 'Sunnyside_1522', 'Elmhurst_1574', 'Jamaica Hills-Briarwood_1660', 'Hollis_1700', 'Rosedale_1797', 'Breezy Point-Belle Harbor-Rockaway Park-Broad Channel_1882', 'Rockaway Beach-Arverne-Edgemere_1896', 'Far Rockaway-Bayswater_1906', 'Far Rockaway-Bayswater_1908', 'Bayside_1924', 'East Flushing_1946', 'West Farms_1997', 'University Heights (South)-Morris Heights_2002', 'Bayside_2058', 'Washington Heights (North)_2115', 'Riverdale-Spuyten Duyvil_2246', 'Murray Hill-Broadway Flushing_2269', 'Sheepshead Bay-Manhattan Beach-Gerritsen Beach_2305']"
Bedford Park_502,"['Belmont_487', 'Belmont_489', 'Bedford Park_497', 'Bedford Park_498', 'Bedford Park_499', 'Bedford Park_501', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'Fordham Heights_2003', 'University Heights (North)-Fordham_2166', 'University Heights (North)-Fordham_2171', 'Norwood_2204', 'Belmont_2241', 'Bronx Park_2289', 'Fordham Heights_2295', 'Belmont_2320']",[]
Williamsbridge-Olinville_503,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_490', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_493', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_496', 'Williamsbridge-Olinville_500', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_512', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_519', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Eastchester-Edenwald-Baychester_2017']",[]
Bedford Park_504,"['University Heights (North)-Fordham_416', 'Kingsbridge Heights-Van Cortlandt Village_420', 'Bedford Park_497', 'Bedford Park_498', 'Bedford Park_499', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'Norwood_513']",[]
Bedford Park_505,"['Bedford Park_497', 'Bedford Park_498', 'Bedford Park_499', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'Norwood_513', 'University Heights (North)-Fordham_2166', 'Norwood_2204', 'Belmont_2241', 'Bronx Park_2289']",[]
Williamsbridge-Olinville_506,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_493', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_503', 'Wakefield-Woodlawn_512', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Woodlawn Cemetery_526', 'Wakefield-Woodlawn_534']",[]
Bedford Park_507,"['University Heights (North)-Fordham_413', 'University Heights (North)-Fordham_414', 'University Heights (North)-Fordham_416', 'Kingsbridge Heights-Van Cortlandt Village_419', 'Kingsbridge Heights-Van Cortlandt Village_420', 'Kingsbridge Heights-Van Cortlandt Village_421', 'Kingsbridge Heights-Van Cortlandt Village_424', 'Kingsbridge Heights-Van Cortlandt Village_425', 'Kingsbridge Heights-Van Cortlandt Village_426', 'Bedford Park_497', 'Bedford Park_498', 'Bedford Park_499', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'Norwood_513', 'Norwood_516', 'Van Cortlandt Park_527', 'University Heights (North)-Fordham_2005', 'Kingsbridge-Marble Hill_2007', 'University Heights (North)-Fordham_2166', 'University Heights (North)-Fordham_2171']","['Harlem (North)_212', 'Castle Hill-Unionport_293', 'Soundview-Bruckner-Bronx River_373', 'Tremont_476', 'Bedford-Stuyvesant (East)_854', 'East Flatbush-Remsen Village_1147', 'Brownsville_1163', 'East New York-New Lots_1221', 'East New York-New Lots_1233', 'Cypress Hills_1249', 'Cambria Heights_1771', 'Rosedale_1798', 'Soundview-Clason Point_2006', 'Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights_2133', 'Gravesend (South)_2244']"
Bedford Park_508,"['Kingsbridge Heights-Van Cortlandt Village_426', 'Bedford Park_497', 'Bedford Park_498', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_509', 'Bedford Park_511', 'Norwood_513', 'Norwood_516', 'Van Cortlandt Park_527', 'Norwood_2204']",['North Corona_1635']
Bedford Park_509,"['Bedford Park_497', 'Bedford Park_498', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_511', 'Norwood_513', 'Norwood_516', 'Norwood_518', 'Van Cortlandt Park_527', 'Norwood_2204', 'Belmont_2241', 'Bronx Park_2289']","['East Harlem (North)_178', 'East Harlem (North)_190', 'Soundview-Clason Point_245', 'Mott Haven-Port Morris_251', 'Mott Haven-Port Morris_262', 'University Heights (South)-Morris Heights_268', 'Morrisania_316', 'Throgs Neck-Schuylerville_320', 'Throgs Neck-Schuylerville_325', 'Concourse-Concourse Village_351', 'University Heights (South)-Morris Heights_372', 'Mount Eden-Claremont (West)_377', 'Pelham Parkway-Van Nest_381', 'University Heights (South)-Morris Heights_401', 'Kingsbridge Heights-Van Cortlandt Village_426', 'Co-op City_436', 'Allerton_447', 'Tremont_469', 'Williamsbridge-Olinville_477', 'Bedford Park_501', 'Bedford Park_511', 'Washington Heights (North)_515', 'Sunset Park (Central)_626', 'Dyker Heights_668', 'Dyker Heights_703', 'Borough Park_729', 'Bensonhurst_757', 'Bath Beach_767', 'Bedford-Stuyvesant (East)_779', 'Bedford-Stuyvesant (East)_780', 'Gravesend (South)_791', 'Gravesend (West)_879', 'Gravesend (West)_893', 'Mapleton-Midwood (West)_921', 'Borough Park_927', 'South Williamsburg_976', 'Madison_999', 'Gravesend (East)-Homecrest_1019', 'Marine Park-Mill Basin-Bergen Beach_1037', 'Marine Park-Mill Basin-Bergen Beach_1042', 'Midwood_1086', 'Prospect Lefferts Gardens-Wingate_1113', 'East Flatbush-Farragut_1127', 'East Flatbush-Rugby_1140', 'East Flatbush-Remsen Village_1149', 'Brownsville_1154', 'East Flatbush-Rugby_1171', 'Canarsie_1176', 'Canarsie_1177', 'Canarsie_1199', 'East New York (North)_1235', 'Cypress Hills_1251', 'Cypress Hills_1253', 'Oakwood-Richmondtown_1310', 'Oakwood-Richmondtown_1315', 'Port Richmond_1316', 'Great Kills-Eltingville_1318', 'Great Kills-Eltingville_1321', 'Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights_1335', 'Westerleigh-Castleton Corners_1338', 'Port Richmond_1353', 'New Springville-Willowbrook-Bulls Head-Travis_1358', 'Grasmere-Arrochar-South Beach-Dongan Hills_1377', 'Ozone Park (North)_1410', 'Ozone Park (North)_1412', 'South Ozone Park_1450', 'Richmond Hill_1469', 'Richmond Hill_1479', 'South Ozone Park_1503', 'South Ozone Park_1508', 'Sunnyside_1522', 'Elmhurst_1574', 'Jamaica Hills-Briarwood_1660', 'Hollis_1700', 'Rosedale_1797', 'Breezy Point-Belle Harbor-Rockaway Park-Broad Channel_1882', 'Rockaway Beach-Arverne-Edgemere_1896', 'Far Rockaway-Bayswater_1906', 'Far Rockaway-Bayswater_1908', 'Bayside_1924', 'East Flushing_1946', 'West Farms_1997', 'University Heights (South)-Morris Heights_2002', 'Bayside_2058', 'Washington Heights (North)_2115', 'Riverdale-Spuyten Duyvil_2246', 'Murray Hill-Broadway Flushing_2269', 'Sheepshead Bay-Manhattan Beach-Gerritsen Beach_2305']"
Wakefield-Woodlawn_510,"['Wakefield-Woodlawn_512', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Wakefield-Woodlawn_528', 'Wakefield-Woodlawn_529', 'Wakefield-Woodlawn_530', 'Wakefield-Woodlawn_534', 'Wakefield-Woodlawn_535']",[]
Bedford Park_511,"['Bedford Park_497', 'Bedford Park_498', 'Bedford Park_501', 'Bedford Park_502', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Norwood_513', 'Norwood_518', 'Norwood_2204', 'Belmont_2241', 'Bronx Park_2289']","['East Harlem (North)_178', 'East Harlem (North)_190', 'Soundview-Clason Point_245', 'Mott Haven-Port Morris_251', 'Mott Haven-Port Morris_262', 'University Heights (South)-Morris Heights_268', 'Morrisania_316', 'Throgs Neck-Schuylerville_320', 'Throgs Neck-Schuylerville_325', 'Concourse-Concourse Village_351', 'University Heights (South)-Morris Heights_372', 'Mount Eden-Claremont (West)_377', 'Pelham Parkway-Van Nest_381', 'University Heights (South)-Morris Heights_401', 'Kingsbridge Heights-Van Cortlandt Village_426', 'Co-op City_436', 'Allerton_447', 'Tremont_469', 'Williamsbridge-Olinville_477', 'Bedford Park_501', 'Bedford Park_509', 'Washington Heights (North)_515', 'Sunset Park (Central)_626', 'Dyker Heights_668', 'Dyker Heights_703', 'Borough Park_729', 'Bensonhurst_757', 'Bath Beach_767', 'Bedford-Stuyvesant (East)_779', 'Bedford-Stuyvesant (East)_780', 'Gravesend (South)_791', 'Gravesend (West)_879', 'Gravesend (West)_893', 'Mapleton-Midwood (West)_921', 'Borough Park_927', 'South Williamsburg_976', 'Madison_999', 'Gravesend (East)-Homecrest_1019', 'Marine Park-Mill Basin-Bergen Beach_1037', 'Marine Park-Mill Basin-Bergen Beach_1042', 'Midwood_1086', 'Prospect Lefferts Gardens-Wingate_1113', 'East Flatbush-Farragut_1127', 'East Flatbush-Rugby_1140', 'East Flatbush-Remsen Village_1149', 'Brownsville_1154', 'East Flatbush-Rugby_1171', 'Canarsie_1176', 'Canarsie_1177', 'Canarsie_1199', 'East New York (North)_1235', 'Cypress Hills_1251', 'Cypress Hills_1253', 'Oakwood-Richmondtown_1310', 'Oakwood-Richmondtown_1315', 'Port Richmond_1316', 'Great Kills-Eltingville_1318', 'Great Kills-Eltingville_1321', 'Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights_1335', 'Westerleigh-Castleton Corners_1338', 'Port Richmond_1353', 'New Springville-Willowbrook-Bulls Head-Travis_1358', 'Grasmere-Arrochar-South Beach-Dongan Hills_1377', 'Ozone Park (North)_1410', 'Ozone Park (North)_1412', 'South Ozone Park_1450', 'Richmond Hill_1469', 'Richmond Hill_1479', 'South Ozone Park_1503', 'South Ozone Park_1508', 'Sunnyside_1522', 'Elmhurst_1574', 'Jamaica Hills-Briarwood_1660', 'Hollis_1700', 'Rosedale_1797', 'Breezy Point-Belle Harbor-Rockaway Park-Broad Channel_1882', 'Rockaway Beach-Arverne-Edgemere_1896', 'Far Rockaway-Bayswater_1906', 'Far Rockaway-Bayswater_1908', 'Bayside_1924', 'East Flushing_1946', 'West Farms_1997', 'University Heights (South)-Morris Heights_2002', 'Bayside_2058', 'Washington Heights (North)_2115', 'Riverdale-Spuyten Duyvil_2246', 'Murray Hill-Broadway Flushing_2269', 'Sheepshead Bay-Manhattan Beach-Gerritsen Beach_2305']"
Wakefield-Woodlawn_512,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_510', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Woodlawn Cemetery_526', 'Wakefield-Woodlawn_528', 'Wakefield-Woodlawn_533', 'Wakefield-Woodlawn_534', 'Wakefield-Woodlawn_535']","['Flatbush (West)-Ditmas Park-Parkville_935', 'Greenpoint_1020']"
Norwood_513,"['Kingsbridge Heights-Van Cortlandt Village_426', 'Bedford Park_504', 'Bedford Park_505', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Bedford Park_511', 'Norwood_516', 'Norwood_518', 'Norwood_521', 'Norwood_523', 'Woodlawn Cemetery_526', 'Van Cortlandt Park_527', 'Norwood_2148', 'Norwood_2149', 'Norwood_2204', 'Bronx Park_2289']",[]
Wakefield-Woodlawn_514,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_510', 'Wakefield-Woodlawn_512', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Woodlawn Cemetery_526', 'Wakefield-Woodlawn_528', 'Wakefield-Woodlawn_534', 'Wakefield-Woodlawn_535']",[]
Washington Heights (North)_515,"['Washington Heights (North)_231', 'Washington Heights (North)_232', 'Washington Heights (North)_233', 'Washington Heights (North)_234', 'Washington Heights (North)_236', 'Inwood_237', 'University Heights (South)-Morris Heights_268', 'University Heights (South)-Morris Heights_403', 'University Heights (South)-Morris Heights_2001', 'Washington Heights (North)_2114', 'Washington Heights (North)_2115', 'Washington Heights (North)_2116', 'Washington Heights (North)_2132', 'Inwood_2135', 'Highbridge Park_2317']","['East Harlem (North)_178', 'East Harlem (North)_190', 'Soundview-Clason Point_245', 'Mott Haven-Port Morris_251', 'Mott Haven-Port Morris_262', 'University Heights (South)-Morris Heights_268', 'Morrisania_316', 'Throgs Neck-Schuylerville_320', 'Throgs Neck-Schuylerville_325', 'Concourse-Concourse Village_351', 'University Heights (South)-Morris Heights_372', 'Mount Eden-Claremont (West)_377', 'Pelham Parkway-Van Nest_381', 'University Heights (South)-Morris Heights_401', 'Kingsbridge Heights-Van Cortlandt Village_426', 'Co-op City_436', 'Allerton_447', 'Tremont_469', 'Williamsbridge-Olinville_477', 'Bedford Park_501', 'Bedford Park_509', 'Bedford Park_511', 'Sunset Park (Central)_626', 'Dyker Heights_668', 'Dyker Heights_703', 'Borough Park_729', 'Bensonhurst_757', 'Bath Beach_767', 'Bedford-Stuyvesant (East)_779', 'Bedford-Stuyvesant (East)_780', 'Gravesend (South)_791', 'Gravesend (West)_879', 'Gravesend (West)_893', 'Mapleton-Midwood (West)_921', 'Borough Park_927', 'South Williamsburg_976', 'Madison_999', 'Gravesend (East)-Homecrest_1019', 'Marine Park-Mill Basin-Bergen Beach_1037', 'Marine Park-Mill Basin-Bergen Beach_1042', 'Midwood_1086', 'Prospect Lefferts Gardens-Wingate_1113', 'East Flatbush-Farragut_1127', 'East Flatbush-Rugby_1140', 'East Flatbush-Remsen Village_1149', 'Brownsville_1154', 'East Flatbush-Rugby_1171', 'Canarsie_1176', 'Canarsie_1177', 'Canarsie_1199', 'East New York (North)_1235', 'Cypress Hills_1251', 'Cypress Hills_1253', 'Oakwood-Richmondtown_1310', 'Oakwood-Richmondtown_1315', 'Port Richmond_1316', 'Great Kills-Eltingville_1318', 'Great Kills-Eltingville_1321', 'Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights_1335', 'Westerleigh-Castleton Corners_1338', 'Port Richmond_1353', 'New Springville-Willowbrook-Bulls Head-Travis_1358', 'Grasmere-Arrochar-South Beach-Dongan Hills_1377', 'Ozone Park (North)_1410', 'Ozone Park (North)_1412', 'South Ozone Park_1450', 'Richmond Hill_1469', 'Richmond Hill_1479', 'South Ozone Park_1503', 'South Ozone Park_1508', 'Sunnyside_1522', 'Elmhurst_1574', 'Jamaica Hills-Briarwood_1660', 'Hollis_1700', 'Rosedale_1797', 'Breezy Point-Belle Harbor-Rockaway Park-Broad Channel_1882', 'Rockaway Beach-Arverne-Edgemere_1896', 'Far Rockaway-Bayswater_1906', 'Far Rockaway-Bayswater_1908', 'Bayside_1924', 'East Flushing_1946', 'West Farms_1997', 'University Heights (South)-Morris Heights_2002', 'Bayside_2058', 'Washington Heights (North)_2115', 'Riverdale-Spuyten Duyvil_2246', 'Murray Hill-Broadway Flushing_2269', 'Sheepshead Bay-Manhattan Beach-Gerritsen Beach_2305']"
Norwood_516,"['Kingsbridge Heights-Van Cortlandt Village_426', 'Bedford Park_507', 'Bedford Park_508', 'Bedford Park_509', 'Norwood_513', 'Norwood_518', 'Norwood_521', 'Norwood_523', 'Woodlawn Cemetery_526', 'Van Cortlandt Park_527', 'Norwood_2148', 'Norwood_2149', 'Norwood_2204', 'Bronx Park_2289']",[]
Wakefield-Woodlawn_517,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_496', 'Williamsbridge-Olinville_500', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_512', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_519', 'Wakefield-Woodlawn_520', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Wakefield-Woodlawn_528', 'Eastchester-Edenwald-Baychester_2017']",['East Flatbush-Erasmus_1118']
Norwood_518,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_12', 'Bedford Park_509', 'Bedford Park_511', 'Norwood_513', 'Norwood_516', 'Norwood_521', 'Norwood_523', 'Woodlawn Cemetery_526', 'Van Cortlandt Park_527', 'Norwood_2148', 'Norwood_2149', 'Norwood_2204', 'Bronx Park_2289']","['Harlem (North)_214', 'Brownsville_1165', 'St. George-New Brighton_1275', ""Annadale-Huguenot-Prince's Bay-Woodrow_1342"", 'Westerleigh-Castleton Corners_1355', 'Breezy Point-Belle Harbor-Rockaway Park-Broad Channel_1920']"
Wakefield-Woodlawn_519,"['Eastchester-Edenwald-Baychester_488', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_496', 'Williamsbridge-Olinville_500', 'Williamsbridge-Olinville_503', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_520', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Wakefield-Woodlawn_528', 'Wakefield-Woodlawn_531', 'Eastchester-Edenwald-Baychester_538', 'Eastchester-Edenwald-Baychester_539', 'Eastchester-Edenwald-Baychester_549', 'Eastchester-Edenwald-Baychester_2017']",[]
Wakefield-Woodlawn_520,"['Williamsbridge-Olinville_500', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_519', 'Wakefield-Woodlawn_522', 'Wakefield-Woodlawn_524', 'Wakefield-Woodlawn_528', 'Wakefield-Woodlawn_530', 'Wakefield-Woodlawn_531', 'Eastchester-Edenwald-Baychester_538', 'Eastchester-Edenwald-Baychester_549', 'Eastchester-Edenwald-Baychester_2017']","['Mount Hope_393', 'Allerton_458', 'Williamsbridge-Olinville_472', 'Williamsbridge-Olinville_494', 'Gravesend (East)-Homecrest_888', 'Kensington_939', 'Cambria Heights_1718']"
Norwood_521,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_12', 'Williamsbridge-Olinville_13', 'Williamsbridge-Olinville_479', 'Norwood_513', 'Norwood_516', 'Norwood_518', 'Norwood_523', 'Woodlawn Cemetery_526', 'Norwood_2148', 'Norwood_2149', 'Norwood_2204', 'Bronx Park_2289']",[]
Wakefield-Woodlawn_522,"['Williamsbridge-Olinville_500', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_510', 'Wakefield-Woodlawn_512', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_517', 'Wakefield-Woodlawn_519', 'Wakefield-Woodlawn_520', 'Wakefield-Woodlawn_524', 'Wakefield-Woodlawn_528', 'Wakefield-Woodlawn_530', 'Wakefield-Woodlawn_531', 'Eastchester-Edenwald-Baychester_538', 'Eastchester-Edenwald-Baychester_2017']",[]
Norwood_523,"['Norwood_513', 'Norwood_516', 'Norwood_518', 'Norwood_521', 'Woodlawn Cemetery_526', 'Van Cortlandt Park_527', 'Norwood_2149']",[]
